Name,Overall,Pace,Shooting,Passing,Dribbling,Defense,Physical
Jay Rodriguez,76,77,75,68,75,32,67
Mauricio Isla,76,77,59,75,76,71,73
Simon Francis,76,65,43,68,67,76,76
Rolando,76,36,38,57,57,77,76
Youssouf Sabaly,76,76,38,64,74,75,69
Admir Mehmedi,76,76,76,71,78,39,71
Lucas Ocampos,76,78,70,74,77,48,66
Jakub Jankto,76,82,68,74,76,63,67
Etienne Capoue,76,58,70,70,73,74,76
Mattia De Sciglio,76,79,45,68,74,74,72
Dario Dainelli,76,32,33,44,51,80,64
Aleix Vidal,76,91,67,72,80,69,70
Carlos Martínez,76,61,51,71,66,77,67
Jairo,76,86,68,71,78,32,56
Papa Kouli Diop,76,57,66,68,68,73,85
Fran Rico,76,58,66,76,70,70,71
Charly Musonda,76,87,64,69,82,23,46
Daniele Gastaldello,76,42,39,48,55,79,70
Alfred Duncan,76,75,63,72,73,74,79
Nampalys Mendy,76,71,55,71,74,73,76
Bóveda,76,75,52,66,69,76,70
Leon Bailey,76,92,70,70,79,23,61
Alex Schalk,75,86,73,58,81,35,72
Moritz Bauer,75,82,46,69,71,70,67
Peter Žulj,75,76,70,77,77,68,70
Felix Uduokhai,75,69,39,52,57,76,70
Léo Bonatini,75,73,76,65,72,35,73
Ivan Cavaleiro,75,88,71,67,75,38,71
Aden Flint,75,49,47,43,43,73,81
Diego,75,74,73,77,75,47,64
Lasse Sobiech,75,50,51,47,43,77,75
Saúl Berjón,75,78,74,74,75,36,69
Souleymane Bamba,75,64,28,45,55,73,78
Imoh Ezekiel,75,92,74,62,73,28,64
Saphir Taïder,75,73,67,73,76,70,73
Ola Kamara,75,76,73,54,71,36,76
Rúben Micael Freitas ...,75,67,70,78,77,50,63
Lucas Barrios,75,66,74,65,70,46,68
Baiano,75,77,61,64,74,73,71
Jean Beausejour,75,82,66,71,76,71,81
Wellington Nem,75,88,67,70,76,36,58
Adriano,75,89,75,56,73,31,62
Zainadine,75,71,39,55,62,77,78
Lazaros Christodoulop...,75,76,75,73,77,54,68
Miha Mevlja,75,70,38,60,58,79,75
Néstor Araujo,75,70,41,52,57,75,79
Ryota Morioka,75,68,69,76,73,36,56
Sérgio Oliveira,75,63,74,77,75,53,59
Ryan Thomas,75,79,58,72,78,57,66
Frenkie de Jong,75,76,56,78,83,60,65
Anthony Limbombe,75,88,70,67,79,30,64
Wout Weghorst,75,60,73,53,66,31,83
Roman Neustädter,75,48,52,66,65,76,73
Justin Kluivert,75,86,72,67,81,36,64
Karim Ansarifard,75,79,73,56,74,42,70
Oussama Assaidi,75,82,70,68,81,32,52
Brandley Kuwas,75,81,72,68,79,23,66
Hany Mukhtar,75,79,66,71,81,38,56
Ravel Morrison,75,83,68,74,78,43,61
Alaixys Romao,75,66,55,66,68,76,78
Paulinho,75,73,67,73,75,31,49
Mbaye Leye,75,68,74,71,74,38,70
Emre Akbaba,75,75,73,75,74,54,65
Sofyan Amrabat,75,70,52,76,77,61,76
Tolga Ciğerci,75,69,66,72,70,71,78
James Forrest,75,91,66,70,77,30,59
Kieran Tierney,75,84,44,69,71,70,71
Sacha Kljestan,75,63,68,77,71,62,72
Sylvester Igboun,75,92,71,65,75,34,80
Wilmar Barrios,75,68,38,62,63,75,78
Salman Al Faraj,75,70,68,75,74,70,71
Osama Hawsawi,75,72,57,53,58,74,82
Haris Seferović,75,71,73,66,71,39,82
Yusuf Yazıcı,75,74,71,76,76,48,71
Diego Vera,75,67,73,64,72,31,73
Tom Rogić,75,70,72,69,78,37,62
Diego González,75,70,67,71,71,73,81
Edwin Cardona,75,61,76,76,74,40,76
Bobô,75,68,74,64,71,27,70
Andrés Pérez,75,50,64,68,65,73,75
Ike Opara,75,84,38,52,57,75,83
Salih Uçan,75,73,73,75,76,68,59
Jakob Johansson,75,55,63,66,65,74,82
Jonas Svensson,75,80,57,70,70,71,82
Daniel Schwaab,75,69,38,66,64,76,71
Arouna Koné,75,76,75,62,73,35,73
Júnior Caiçara,75,82,57,71,76,71,61
Serdar Aziz,75,73,32,55,58,75,77
Medrán,75,63,69,77,72,64,57
Lato,75,84,53,69,72,71,64
Pablo Maffeo,75,85,52,67,78,73,68
Hermoso,75,85,39,62,67,75,76
Granell,75,65,70,78,73,66,68
Córdoba,75,84,72,69,78,41,66
Postigo,75,64,45,48,58,75,78
Enis Bardhi,75,72,75,77,77,36,56
Toño,75,85,58,73,75,68,67
José Ángel,75,75,51,66,71,72,70
Ihlas Bebou,75,92,70,64,78,34,62
Dennis Diekmeier,75,86,40,66,67,72,75
Mijat Gaćinović,75,78,68,73,80,61,63
Waldemar Anton,75,58,45,59,62,74,74
Kai Havertz,75,73,60,74,76,40,58
Niclas Füllkrug,75,71,73,62,70,28,77
Marcel Tisserand,75,71,59,70,68,74,76
Matthias Ostrzolek,75,76,46,67,74,73,70
Nico Schulz,75,87,50,68,75,70,72
Dayot Upamecano,75,80,32,58,61,73,78
Youssef Ait Bennasser,75,75,62,72,77,63,67
Clinton Njie,75,93,72,67,76,32,67
Mouctar Diakhaby,75,56,37,44,50,75,80
Giovani Lo Celso,75,75,62,76,77,40,63
Houssem Aouar,75,78,61,75,79,56,65
Nicolò Barella,75,79,57,75,78,64,65
Antonín Barák,75,68,72,75,74,58,71
Guido Carrillo,75,63,77,54,71,37,79
Ahmed Hegazy,75,54,20,42,49,76,76
Moritz Bauer,75,82,46,69,71,70,67
Harry Winks,75,73,58,76,75,62,66
Christopher Schindler,75,66,32,58,56,77,76
Laurent Depoitre,75,63,72,58,64,37,84
Demarai Gray,75,90,68,65,81,23,59
Anders Jacobsen,75,85,74,60,77,28,63
Emmanuel Emenike,75,81,73,62,73,26,78
Diafra Sakho,75,73,72,58,71,31,72
Sandro,75,72,69,68,68,74,80
Clément Grenier,75,52,71,78,77,56,65
Geoffrey Bia,75,81,77,73,75,20,60
Mattheus Oliveira,75,68,70,75,75,56,69
Riad Bajić,75,65,74,59,68,25,68
Milot Rashica,75,90,68,68,78,29,62
Luca Rizzo,75,74,61,74,76,62,74
Rafa Soares,75,77,61,71,74,71,68
Genki Haraguchi,75,85,60,67,80,39,47
Aleksandar Mitrović,75,59,75,52,68,24,81
Jonathan Silva,75,81,60,68,72,71,73
Silvio Romero,75,79,74,67,73,38,71
Amato Ciciretti,75,86,67,73,76,29,49
Salvador Agra,75,93,73,67,79,35,50
Viktor Fischer,75,77,71,72,76,35,64
Welthon,75,83,73,64,75,27,73
Konstantinos Stafylidis,75,78,64,69,73,72,73
Samu García,75,78,68,73,74,28,62
Gaëtan Bussmann,75,71,59,60,64,77,76
Milot Rashica,75,90,68,68,78,29,62
David García,75,62,36,60,64,73,76
Matías Britos,75,83,71,66,75,52,67
Arribas,75,54,36,56,57,74,75
Darlington Nagbe,75,87,66,68,80,44,69
Benny Feilhaber,75,63,69,74,77,62,69
Dejan Damjanović,75,67,76,65,68,29,76
Danijel Milićević,75,69,74,78,74,31,52
Andrés Ibargüen,75,90,65,68,78,26,47
Lewis Alessandra,75,84,70,66,81,34,80
Sergi Guardiola,75,72,75,61,76,35,75
Leon Clarke,75,71,76,62,67,38,85
Gregor Balažic,75,65,40,53,54,78,78
Simone Rapp,75,81,74,60,73,32,78
Peter Crouch,75,36,77,68,68,33,72
Luke Berry,75,80,75,77,76,60,82
Hakan Arslan,75,73,74,76,80,72,80
Nicolás Stefanelli,75,84,78,70,80,26,70
Christoph Knasmüllner,75,79,68,75,76,33,74
Theo Hernández,75,84,56,63,74,72,76
Danny Williams,75,78,73,75,76,64,76
Patrick Mullins,75,70,77,53,72,32,78
Liassine Cadamuro,75,68,39,66,63,75,77
Alberto Aquilani,75,54,70,80,75,60,62
Omar Kharbin,75,78,76,56,71,26,68
Federico Chiesa,75,81,68,67,79,32,59
Malang Sarr,75,72,47,67,65,74,77
Pedrinho,75,79,70,75,76,59,60
Dimitri Liénard,75,66,69,76,72,57,70
Gaku Shibasaki,75,71,65,74,76,70,65
Ruslan Malinovskyi,75,69,75,78,73,58,70
Joris Gnagnon,75,66,33,46,56,75,79
Riad Bajić,75,65,74,59,68,25,68
Viktor Kovalenko,75,77,72,73,74,60,70
Francisco Geraldes,75,77,58,72,79,39,53
André Horta,75,76,63,71,80,64,61
Lekue,75,73,64,74,75,67,73
André Simões,75,80,68,73,75,66,70
Ömer Ali Şahiner,75,82,65,71,76,66,66
Germán Conti,75,70,36,46,45,78,73
Mislav Oršić,75,87,72,70,77,32,59
Nikola Vukčević,75,61,51,66,69,74,78
Bongani Zungu,75,73,66,73,75,72,78
Kahraba,75,84,73,65,79,30,67
Jonathan Calleri,75,74,73,61,75,39,70
Rafa Soares,75,77,61,71,74,71,68
Djavan,75,76,47,64,74,72,77
Yuya Kubo,75,83,72,68,78,42,56
Yuriy Gazinskiy,75,66,55,66,68,73,72
Ignacio Fernández,75,71,68,76,74,54,73
Alireza Jahanbakhsh,75,86,72,67,77,40,72
Deniz Türüç,75,75,68,76,76,57,67
Jonathan Silva,75,81,60,68,72,71,73
Lucas Zelarayán,75,77,67,74,78,43,61
Milton Casco,75,85,62,65,72,70,76
Gastón Lezcano,75,84,73,66,78,25,70
Silvio Romero,75,79,74,67,73,38,71
Paolo Goltz,75,62,56,62,60,74,79
Sebastián Pérez,75,68,61,71,74,68,69
Guillermo Celis,75,69,48,63,69,72,79
William Tesillo,75,61,26,51,54,76,76
Jefferson Lerma,75,77,64,71,73,69,80
Felipe Mora,75,82,74,55,72,26,64
Jorrit Hendrix,75,71,56,68,73,72,74
Enzo Roco,75,49,41,54,58,75,77
Marc Schnatterer,75,76,72,76,73,37,63
Frederico Venâncio,75,65,33,51,56,76,73
Paulinho,75,85,49,66,76,71,69
Björn Engels,75,61,44,59,58,75,74
Ahmed Hassan,75,59,76,52,69,30,80
Garry Rodrigues,75,87,68,70,76,46,66
José Rodríguez,75,69,64,75,75,68,70
Bruno Moreira,75,61,74,54,68,32,73
Mikel Agu,75,69,44,59,66,74,81
Matías Britos,75,83,71,66,75,52,67
Mattheus Oliveira,75,68,70,75,75,56,69
Petros Mantalos,75,73,69,75,77,48,62
Imoh Ezekiel,75,92,74,62,73,28,64
Matt Hedges,75,54,28,51,54,73,84
Will Hughes,75,66,59,72,77,65,65
Bogdan Butko,75,79,48,66,69,73,70
Sergiy Kryvtsov,75,69,44,50,49,75,79
Amato Ciciretti,75,86,67,73,76,29,49
Valeri Qazaishvili,75,68,72,72,77,36,60
Okay Yokuşlu,75,73,70,72,71,72,81
Portu,75,79,73,71,76,61,73
Iván Piris,75,78,48,61,69,75,70
Toni Leistner,75,66,38,54,57,74,80
Santiago García,75,72,76,61,70,27,76
Welthon,75,83,73,64,75,27,73
Willy Boly,75,70,35,55,55,74,80
Stuart Armstrong,75,84,71,71,75,62,73
Naldo,75,54,38,48,52,79,69
Emmanuel Gigliotti,75,57,74,60,68,32,75
Hans Vanaken,75,44,73,75,74,41,64
Josué,75,68,74,75,78,51,67
Renato Neto,75,58,66,73,70,70,85
Kamohelo Mokotjo,75,72,49,71,74,66,72
Nicolas Isimat-Mirin,75,53,31,53,47,75,79
Zakaria Labyad,75,77,72,73,79,32,53
Róbert Mak,75,83,71,68,77,36,65
Serdar Gürler,75,87,67,67,78,42,54
Fransérgio,75,57,71,71,72,71,79
Gonzalo Jara,75,67,47,63,67,73,77
Ishak Belfodil,75,66,73,69,73,31,81
Leonardo,75,78,71,76,73,23,69
Jano Ananidze,75,75,71,74,76,46,46
Alan Pulido,75,84,73,62,74,36,69
Ezequiel Schelotto,75,78,61,67,71,71,81
Carlos Eduardo,75,71,76,74,71,51,71
José Cañas,75,53,45,66,58,72,74
Georgiy Schennikov,75,81,53,69,70,73,71
Botía,75,59,55,53,57,74,80
Sandro,75,72,69,68,68,74,80
Sebastián Blanco,75,78,70,71,77,28,68
Rubén Pérez,75,57,56,68,66,70,77
Fernandão,75,49,76,51,65,29,78
João Aurélio,75,68,64,74,74,72,76
Mauro Díaz,75,72,68,72,77,42,57
Matías Suárez,75,69,71,72,74,25,53
Jorge Hernández,75,70,60,71,70,70,77
Jesús Dueñas,75,77,64,73,72,71,76
Matías Pérez García,75,81,64,74,78,25,61
Diego Ângelo,75,45,62,66,57,78,79
Sergio Tejera,75,66,70,75,74,65,72
Titi,75,34,38,43,55,77,75
Dejan Damjanović,75,67,76,65,68,29,76
Eren Derdiyok,75,41,76,66,67,28,71
Nuno Pinto,75,75,56,70,74,71,68
Ola Kamara,75,76,73,54,71,36,76
Marko Marin,75,74,64,74,81,26,42
Varela,75,67,44,54,59,75,82
Lee Nguyen,75,74,72,73,76,42,62
Abel Aguilar,75,38,62,68,66,74,78
Andreas Beck,75,71,46,70,74,75,71
Christian Marrugo,75,71,68,75,73,52,59
Dmytro Chygrynskyi,75,50,39,59,46,76,78
De la Bella,75,60,52,69,69,78,68
Hugo Ayala,75,63,55,60,60,76,72
Andrey Eschenko,75,80,57,68,69,72,72
Danijel Milićević,75,69,74,78,74,31,52
Zeca,75,76,65,74,75,69,74
Roman Shishkin,75,75,61,73,71,73,66
Lior Refaelov,75,67,74,73,78,25,50
Bradley Wright-Phillips,75,73,76,58,70,29,68
Marcos Angeleri,75,65,46,56,56,74,79
Oleg Ivanov,75,69,70,75,73,62,80
Trashorras,75,36,65,77,66,68,70
Leonardo Pisculichi,75,70,70,78,76,33,59
Jean Beausejour,75,82,66,71,76,71,81
Ryan Babel,75,81,73,67,79,34,70
Franco Brienza,75,67,68,79,82,53,48
Stijn Schaars,75,34,67,78,69,68,67
Jaime Valdés,75,67,71,77,76,44,65
Floyd Ayité,75,85,71,69,77,26,58
Jonathan Kodjia,75,83,72,55,75,25,73
James Chester,75,70,34,58,64,75,74
Ricky van Wolfswinkel,75,63,74,64,71,37,67
Fabián Castillo,75,93,71,63,82,44,65
Salvador Agra,75,93,73,67,79,35,50
Andrés Ibargüen,75,90,65,68,78,26,47
Milot Rashica,75,90,68,68,78,29,62
Avilés Hurtado,75,90,72,70,79,44,71
Federico Carrizo,75,89,65,72,76,36,62
Aminu Umar,75,89,68,67,79,47,69
Henry Onyekuru,75,89,73,65,80,27,54
Cristian Pavón,75,88,75,70,77,27,56
Leandro González Pirez,75,73,48,63,68,74,79
Ximo Navarro,75,78,47,65,67,74,77
Timofey Kalachev,75,71,71,77,75,69,64
Samu Saiz,75,75,70,74,77,24,59
Rasmus Elm,75,51,69,80,74,64,58
Orbelín Pineda,75,86,68,72,77,63,64
Miloš Ninković,75,72,71,73,75,52,66
Matt Ritchie,75,75,74,72,75,51,68
Mathias Jørgensen,75,69,39,61,57,73,82
Lewis Dunk,75,50,32,50,59,74,79
Isaac Brizuela,75,91,70,68,77,32,66
Dwight Gayle,75,83,76,55,73,25,60
Daley Sinkgraven,75,82,59,74,78,68,65
Christian Atsu,75,91,67,70,79,35,50
Brian Sarmiento,75,88,68,74,77,28,50
Andrew Surman,75,61,64,75,72,64,71
Aleksandar Mitrović,75,59,75,52,68,24,81
Georgiy Dzhikiya,75,82,51,59,58,76,77
Moussa Dembélé,75,81,73,57,74,21,71
Leigh Griffiths,75,82,75,68,72,22,71
Darlington Nagbe,75,87,66,68,80,44,69
Nemanja Nikolić,75,74,76,59,69,24,73
Benny Feilhaber,75,63,69,74,77,62,69
Daniel Ginczek,75,67,75,50,68,38,79
Alexandru Maxim,75,73,68,75,78,30,51
Abdelhak Nouri,75,73,63,77,79,32,44
Emmanuel Emenike,75,81,73,62,73,26,78
Ridgeciano Haps,75,89,54,64,76,69,75
Geoffrey Bia,75,81,77,73,75,20,60
Carlos Villanueva,75,63,71,75,78,41,50
Aiden McGeady,75,77,71,72,81,42,62
Jefferson,75,77,71,74,74,70,73
Marvin Zeegelaar,75,78,65,67,72,71,80
Rodolfo Pizarro,75,85,68,74,76,68,70
Gonzalo Martínez,75,84,69,68,82,27,57
Nana Asare,75,79,59,73,77,76,71
Lombán,75,48,59,64,57,75,77
Konstantinos Stafylidis,75,78,64,69,73,72,73
Dominic Maroh,75,52,37,48,50,76,75
Gustavo Gómez,75,56,33,41,54,77,78
Ashley Young,75,77,69,77,78,65,61
Pablo Armero,75,87,67,71,76,69,74
Abel Hernández,75,85,72,58,74,29,71
Yannick Gerhardt,75,69,69,75,74,70,75
Paolo Cannavaro,75,32,44,52,53,76,66
Ola Toivonen,75,53,76,74,73,42,74
Remo Freuler,75,69,65,74,73,60,67
Marko Livaja,75,74,73,58,71,26,77
Erik Pieters,75,66,40,65,67,78,78
Emmanuel Badu,75,82,67,70,77,72,75
Sebastian Larsson,75,55,76,80,74,62,73
Stephen Ward,75,67,59,68,69,74,78
Craig Dawson,75,65,43,59,60,76,76
Léo Dubois,75,68,57,72,74,74,65
Emil Hallfreðsson,75,67,64,76,73,70,75
Danny Simpson,75,69,38,61,67,77,76
Baptiste Santamaria,75,68,62,71,75,72,67
Arribas,75,54,36,56,57,74,75
Danilo D'Ambrosio,75,75,57,65,71,75,73
Jean-Philippe Gbamin,75,74,49,67,72,73,78
Miguel Torres,75,59,36,64,64,78,74
Arthur Masuaku,75,86,66,70,77,70,74
Felipe Pardo,75,80,74,70,75,34,76
Nabil El Zhar,75,74,73,71,78,34,62
Etienne Didot,75,40,63,78,71,71,70
Jeremy Toljan,75,84,36,62,69,72,69
Fayçal Fajr,75,67,72,77,76,48,65
Younès Kaboul,75,52,44,56,55,74,79
Mathieu Bodmer,75,34,60,76,73,72,72
Alhassan Wakaso,75,67,50,60,66,75,81
Nicolás Spolli,75,41,39,34,46,78,75
Federico Viviani,75,75,68,76,77,66,71
Sebastian Jung,75,74,51,72,73,73,70
Rafael Santos Borré,75,80,75,66,76,35,60
Panagiotis Tachtsidis,75,55,59,74,66,69,80
Jimmy Durmaz,75,80,71,74,77,32,62
Rio Mavuba,75,60,52,70,69,74,74
Andrew Robertson,75,80,60,67,74,72,71
Leon Balogun,75,70,46,62,61,74,79
Simon Falette,75,62,45,48,55,73,86
Andrea Poli,75,76,62,75,77,60,69
Pirmin Schwegler,75,42,68,76,74,72,68
Daniel Amartey,75,73,60,63,70,72,86
Christian Clemens,75,81,70,72,74,41,67
Sergio Floccari,75,66,76,60,72,24,68
Préjuce Nakoulma,75,93,71,63,76,39,73
Christophe Kerbrat,75,63,41,56,63,77,75
Fernando Amorebieta,75,31,47,54,49,74,83
Clément Grenier,75,52,71,78,77,56,65
Valentin Vada,75,65,66,76,75,63,69
Alessandro Diamanti,75,67,71,77,80,32,64
Adrián,75,66,73,67,80,27,63
Darko Lazović,75,89,64,71,77,31,48
Emanuel Mammana,75,79,42,61,67,75,72
Nathan Dyer,75,83,72,67,79,38,63
Martín Mantovani,75,39,42,56,60,74,82
Adalberto Peñaranda,75,82,73,68,80,34,65
Hamit Altıntop,75,51,70,77,76,69,69
Gabriel,75,62,70,72,77,62,75
Jota Peleteiro,75,71,70,76,77,24,60
Jordan Ferri,75,66,67,73,75,66,72
Robert Bauer,75,72,51,65,70,75,77
Bakary Koné,75,61,41,50,51,75,75
Stefan Ilsanker,75,58,53,56,53,76,83
Simone Missiroli,75,67,66,72,72,66,66
Massimo Maccarone,75,69,78,64,76,29,62
Ádám Szalai,75,48,74,60,70,38,78
João Pedro,75,76,73,70,74,40,69
Yohan Benalouane,75,64,39,57,55,74,79
Sabin Merino,75,77,72,68,75,43,61
Michael Dawson,75,29,33,44,39,76,74
Luna,75,73,61,66,70,71,78
Allan Saint-Maximin,75,87,69,64,82,22,56
Hiroki Sakai,75,76,48,64,64,75,76
Wayne Routledge,75,72,66,70,80,36,61
Leonel Vangioni,75,84,63,69,72,72,70
Oumar Niasse,75,77,74,57,71,30,72
Sylvain Marveaux,75,71,71,76,76,52,63
Kévin Malcuit,75,84,63,67,76,71,75
Glen Johnson,75,71,63,72,76,73,72
Luca Rigoni,75,69,67,72,71,71,73
Jeff Hendrick,75,69,68,73,75,70,78
Patrick van Aanholt,75,86,63,67,74,70,72
Maya Yoshida,75,62,41,48,62,76,75
Danilo Cataldi,75,70,69,74,73,68,69
Omar Elabdellaoui,75,83,55,71,75,70,71
Ryan Mason,75,68,68,74,73,69,69
Siqueira,75,72,62,71,73,73,70
Philipp Wollscheid,75,47,39,52,41,76,77
Christian Träsch,75,71,60,72,70,73,76
Víctor Rodríguez,75,76,71,71,76,45,59
Ibrahim Amadou,75,75,51,62,67,73,80
Samu García,75,78,68,73,74,28,62
Jake Livermore,75,64,66,72,73,71,80
Tana,75,69,69,72,78,18,50
Mauro Dos Santos,75,62,40,56,54,74,77
Luciano Narsingh,75,91,65,67,76,24,58
James McArthur,75,62,60,72,72,72,76
Theodor Gebre Selassie,75,77,49,68,74,72,72
Munir,75,81,74,62,79,27,56
Jonathan Walters,75,63,73,70,72,59,82
Rémy Cabella,75,80,71,74,78,44,54
Saphir Taïder,75,73,67,73,76,70,73
Ervin Zukanović,75,65,49,64,55,76,76
Alex Alegría,75,57,74,51,70,27,69
Viktor Fischer,75,77,71,72,76,35,64
Pierre-Emile Højbjerg,75,64,61,73,74,69,77
Andrea Conti,75,81,56,69,73,71,70
Mubarak Wakaso,75,89,64,71,74,63,78
David García,75,62,36,60,64,73,76
Jérôme Gondorf,75,70,66,74,74,68,81
Giovanni Sio,75,82,75,71,75,22,75
Koffi Djidji,75,71,29,54,65,75,70
Miguel Angel Britos,75,50,34,50,53,76,74
Matías Silvestre,75,48,47,56,56,76,72
Insua,75,58,36,56,53,76,73
Manu García,75,59,60,66,64,72,81
Giancarlo González,75,71,45,49,60,77,73
Marten de Roon,75,69,66,69,68,76,80
Dimitrios Siovas,75,39,44,55,62,76,83
Artur Ioniţă,75,69,69,72,74,72,81
Marcel Halstenberg,75,71,63,69,70,72,77
Christian Maggio,75,74,69,70,73,70,76
Luca Rizzo,75,74,61,74,76,62,74
Riechedly Bazoer,75,75,63,72,77,62,75
Emiliano Moretti,75,42,32,50,57,78,67
Christian Kabasele,75,73,50,49,62,74,79
Nathaniel Chalobah,75,67,61,70,72,72,73
Godfred Donsah,75,81,65,75,78,63,78
Kelechi Iheanacho,75,84,75,60,74,22,68
Karol Linetty,75,70,60,70,75,70,73
Eduardo Vargas,75,78,75,70,80,32,64
Ricardo Kishna,75,83,66,68,82,29,58
Douglas Santos,75,78,61,70,75,69,60
Lucas Torreira,75,77,55,72,77,66,69
Robin Knoche,75,57,41,51,51,77,71
Kiko Femenía,75,77,61,70,78,71,71
Franco Di Santo,75,72,75,64,73,33,74
Joel Ward,75,65,54,67,66,77,76
Luca Caldirola,75,64,41,64,63,74,73
Callum Wilson,75,90,73,63,74,34,76
Almog Cohen,75,66,64,64,69,74,77
Caiuby,75,83,70,69,73,32,78
Edgar Méndez,75,86,71,69,73,41,77
Felipe,75,43,35,51,53,79,66
François Kamano,75,90,72,65,77,32,63
Jean-Sylvain Babin,75,34,46,57,43,76,84
Burgui,75,78,67,70,75,31,60
Mauricio Pinilla,75,68,73,58,71,27,77
Cheick Diabaté,75,43,76,59,67,25,83
Calum Chambers,75,64,51,66,69,75,76
Diafra Sakho,75,73,72,58,71,31,72
Gonzalo Castro,75,72,70,71,80,37,57
Kyle Naughton,75,74,52,65,67,74,70
Bobby Wood,75,85,74,59,74,28,73
Steven Zuber,75,79,69,71,76,70,75
Antonio Barreca,75,85,34,62,74,68,71
Harry Maguire,75,44,37,56,60,75,82
Juanmi,75,77,73,67,77,30,54
Genki Haraguchi,75,85,60,67,80,39,47
Alessio Cerci,75,83,71,73,78,33,62
Giulio Donati,75,73,49,63,67,76,79
Philipp Bargfrede,75,66,57,69,69,74,72
Niko Bungert,75,64,40,52,53,78,69
Martin Olsson,75,82,62,67,71,72,76
Omar Ramos,75,78,65,74,78,32,59
Joselu,75,62,75,64,72,26,67
Roberto Inglese,75,59,75,49,68,21,72
Fabian Schär,75,56,63,70,67,74,75
Filip Đorđević,75,68,74,59,69,42,75
Seko Fofana,75,74,66,69,77,64,77
Ricardo Álvarez,75,65,71,76,77,53,71
Gaëtan Bussmann,75,71,59,60,64,77,76
Tom Huddlestone,75,43,70,79,67,70,71
Chris Brunt,75,59,73,79,74,67,67
Slobodan Rajković,75,69,31,47,46,74,84
Jonathan Biabiany,75,96,65,66,77,28,66
Charlie Daniels,75,76,53,72,73,72,70
Claudio Pizarro,75,42,77,72,75,32,69
Dani Castellano,75,76,51,69,73,71,77
Theo Hernández,75,84,56,63,74,72,76
Nathan Aké,75,76,49,67,66,74,73
Ivan Strinić,75,74,56,68,72,73,72
Arkadiusz Reca,74,84,61,63,70,60,79
Maxim Kanunnikov,74,85,70,64,74,33,76
Konstantin Rausch,74,79,67,73,72,67,74
Dominique Badji,74,85,66,55,72,45,83
Marc McNulty,74,83,76,60,72,36,71
James Maddison,74,76,70,73,75,31,50
Damir Kreilach,74,59,71,70,70,66,82
Matías Laba,74,73,58,66,69,71,73
David Accam,74,94,69,65,74,44,62
Aleksandar Katai,74,65,74,73,78,36,64
Justin Meram,74,75,72,68,77,62,68
Hrvoje Milić,74,72,57,67,72,73,65
Samuel Armenteros,74,67,72,62,74,34,68
Bruno Gama,74,73,68,74,76,41,59
Ben Watson,74,50,68,76,72,68,70
Marc Janko,74,51,77,52,62,35,77
Rúben Santos Gato Alv...,74,63,33,45,57,74,74
Shoya Nakajima,74,87,71,65,78,40,55
Carlos López,74,86,73,66,75,23,66
Paulinho,74,71,73,52,65,30,69
Ferland Mendy,74,84,53,67,74,71,76
Ruben Loftus-Cheek,74,71,58,70,75,64,77
Guido Carrillo,74,63,75,53,70,35,77
Oussama Tannane,74,78,76,68,77,36,71
Gojko Cimirot,74,74,67,71,73,65,69
Ivan Novoseltsev,74,65,29,58,55,75,71
Ahmet Çalık,74,68,40,54,61,74,76
Enzo Crivelli,74,61,71,62,67,32,81
Ezequiel Cerutti,74,90,65,68,76,26,67
Firmin Ndombe Mubele,74,81,74,53,73,24,68
Didier Ndong,74,70,60,66,72,74,78
Diego Braghieri,74,66,49,47,56,73,75
Rémi Walter,74,68,59,74,74,68,69
Alexander Scholz,74,67,50,59,63,72,78
Nicolae Stanciu,74,69,71,72,74,39,62
Ricardo Centurión,74,87,64,67,80,41,59
Fahad Al Muwallad,74,93,72,63,73,36,68
Paulinho,74,73,66,71,75,25,43
Filipe Augusto,74,68,61,72,75,64,71
Moi Gómez,74,71,67,74,75,44,64
Diogo Figueiras,74,82,56,68,75,70,68
Benik Afobe,74,80,73,60,71,26,72
Moritz Leitner,74,74,65,74,78,50,59
Jonathan Delaplace,74,67,55,70,72,66,71
Bryan Dabo,74,78,71,72,74,74,79
Abdul Majeed Waris,74,92,72,65,76,38,74
Mathieu Peybernès,74,56,30,49,51,76,74
Filip Đuričić,74,76,65,71,77,35,59
Diego Falcinelli,74,73,73,52,70,20,67
Niklas Hult,74,84,59,71,73,68,66
Jaime Romero,74,82,66,69,78,36,64
Carlos Carmona,74,66,59,71,71,66,75
Sloan Privat,74,65,71,58,66,31,67
Konstantin Rausch,74,79,67,73,72,67,74
Mark Milligan,74,67,59,68,65,73,80
Elustondo,74,57,64,73,66,72,76
Bebé,74,83,73,69,74,28,78
Leonardo Ulloa,74,49,72,62,69,42,79
Domenico Maietta,74,40,18,41,50,77,70
Moise Kean,74,78,75,57,74,25,67
Tiago,74,86,73,72,75,39,64
Marios Oikonomou,74,60,25,43,56,76,74
Luis Quiñones,74,91,69,66,76,23,62
Facundo Pereyra,74,79,71,70,76,32,56
Ryder,74,78,70,63,78,30,66
Adam Maher,74,72,69,75,76,52,54
Brice Dja Djédjé,74,78,59,69,73,71,75
Márcio Azevedo,74,80,65,68,73,71,79
Boukary Dramé,74,80,56,63,72,72,73
Murilo Freitas,74,82,73,67,78,40,69
Yevhen Seleznyov,74,58,75,60,64,36,79
Jonathan Urretaviscaya,74,85,69,72,75,33,60
Rúben Ribeiro,74,71,68,72,77,48,64
